cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj,valor,instituicao,ente_uf,cores,MicroRegion
1100015,Alta Floresta D'Oeste,0,NO,RO,M,2020,22945,15834732000154,NA,NA,Alta Floresta D'Oeste-RO,blue,11006
1100023,Ariquemes,0,NO,RO,M,2020,107863,04104816000116,5155496.5,Câmara de Vereadores de Ariquemes - RO,Ariquemes-RO,blue,11003
1100031,Cabixi,0,NO,RO,M,2020,5312,22855159000120,NA,NA,Cabixi-RO,red,11008
1100049,Cacoal,0,NO,RO,M,2020,85359,04092714000128,5343279.76,Câmara de Vereadores de Cacoal - RO,Cacoal-RO,blue,11006
1100056,Cerejeiras,0,NO,RO,M,2020,16323,04914925000107,1567059.16,Câmara de Vereadores de Cerejeiras - RO,Cerejeiras-RO,blue,11008
1100064,Colorado do Oeste,0,NO,RO,M,2020,15882,04391512000187,NA,NA,Colorado do Oeste-RO,blue,11008
1100072,Corumbiara,0,NO,RO,M,2020,7391,63762041000135,NA,NA,Corumbiara-RO,red,11008
1100080,Costa Marques,0,NO,RO,M,2020,18331,04100020000195,NA,NA,Costa Marques-RO,blue,11002
1100098,Espigão D'Oeste,0,NO,RO,M,2020,32374,04695284000139,1906453.3,Câmara de Vereadores de Espigão D'Oeste - RO,Espigão D'Oeste-RO,blue,11006
1100106,Guajará-Mirim,0,NO,RO,M,2020,46174,05893631000109,2422689.86,Câmara de Vereadores de Guajará-Mirim - RO,Guajará-Mirim-RO,blue,11002
1100114,Jaru,0,NO,RO,M,2020,51775,04279238000159,3009603.36,Câmara de Vereadores de Jaru - RO,Jaru-RO,blue,11004
1100122,Ji-Paraná,0,NO,RO,M,2020,128969,04092672000125,6116953.91,Câmara de Vereadores de Ji-Paraná - RO,Ji-Paraná-RO,blue,11004
1100130,Machadinho D'Oeste,0,NO,RO,M,2020,39991,22855142000173,2032959.24,Câmara de Vereadores de Machadinho D'Oeste - RO,Machadinho D'Oeste-RO,blue,11003
1100148,Nova Brasilândia D'Oeste,0,NO,RO,M,2020,20474,15884109000106,1045215.28,Câmara de Vereadores de Nova Brasilândia D'Oeste - RO,Nova Brasilândia D'Oeste-RO,blue,11005
1100155,Ouro Preto do Oeste,0,NO,RO,M,2020,36035,04380507000179,2206997.17,Câmara de Vereadores de Ouro Preto do Oeste - RO,Ouro Preto do Oeste-RO,blue,11004
1100189,Pimenta Bueno,0,NO,RO,M,2020,36660,04092680000171,2822891.82,Câmara de Vereadores de Pimenta Bueno - RO,Pimenta Bueno-RO,blue,11007
1100205,Porto Velho,1,NO,RO,M,2020,529544,05903125000145,29627547.8,Câmara de Vereadores de Porto Velho - RO,Porto Velho-RO,blue,11001
1100254,Presidente Médici,0,NO,RO,M,2020,18986,04632212000142,1319077.23,Câmara de Vereadores de Presidente Médici - RO,Presidente Médici-RO,blue,11004
1100262,Rio Crespo,0,NO,RO,M,2020,3764,63761977000141,NA,NA,Rio Crespo-RO,red,11003
1100288,Rolim de Moura,0,NO,RO,M,2020,55058,04394805000118,3088228.53,Câmara de Vereadores de Rolim de Moura - RO,Rolim de Moura-RO,blue,11006
1100296,Santa Luzia D'Oeste,0,NO,RO,M,2020,6495,15845365000194,680604.44,Câmara de Vereadores de Santa Luzia D'Oeste - RO,Santa Luzia D'Oeste-RO,red,11006
1100304,Vilhena,0,NO,RO,M,2020,99854,04092706000181,5553009.81,Câmara de Vereadores de Vilhena - RO,Vilhena-RO,blue,11007
1100320,São Miguel do Guaporé,0,NO,RO,M,2020,23005,22855167000177,1708618.58,Câmara de Vereadores de São Miguel do Guaporé - RO,São Miguel do Guaporé-RO,blue,11005
1100338,Nova Mamoré,0,NO,RO,M,2020,30583,22855183000160,NA,NA,Nova Mamoré-RO,blue,11001
1100346,Alvorada D'Oeste,0,NO,RO,M,2020,14411,15845340000190,NA,NA,Alvorada D'Oeste-RO,blue,11005
1100379,Alto Alegre dos Parecis,0,NO,RO,M,2020,13241,84744994000140,956569.87,Câmara de Vereadores de Alto Alegre dos Parecis - RO,Alto Alegre dos Parecis-RO,blue,11006
1100403,Alto Paraíso,0,NO,RO,M,2020,21428,63762025000142,1033167.23,Câmara de Vereadores de Alto Paraíso - RO,Alto Paraíso-RO,blue,11003
1100452,Buritis,0,NO,RO,M,2020,39654,01266058000144,2021109.73,Câmara de Vereadores de Buritis - RO,Buritis-RO,blue,11001
1100502,Novo Horizonte do Oeste,0,NO,RO,M,2020,8538,63762009000150,NA,NA,Novo Horizonte do Oeste-RO,red,11006
1100601,Cacaulândia,0,NO,RO,M,2020,6230,63762058000192,NA,NA,Cacaulândia-RO,red,11003
1100700,Campo Novo de Rondônia,0,NO,RO,M,2020,14139,63762033000199,1072561.98,Câmara de Vereadores de Campo Novo de Rondônia - RO,Campo Novo de Rondônia-RO,blue,11001
1100809,Candeias do Jamari,0,NO,RO,M,2020,26693,63761902000160,1500759.8,Câmara de Vereadores de Candeias do Jamari - RO,Candeias do Jamari-RO,blue,11001
1100908,Castanheiras,0,NO,RO,M,2020,3052,63761969000103,NA,NA,Castanheiras-RO,red,11006
1100924,Chupinguaia,0,NO,RO,M,2020,11182,01587887000129,NA,NA,Chupinguaia-RO,blue,11007
1100940,Cujubim,0,NO,RO,M,2020,25215,84736941000188,NA,NA,Cujubim-RO,blue,11001
1101005,Governador Jorge Teixeira,0,NO,RO,M,2020,7767,63761944000100,NA,NA,Governador Jorge Teixeira-RO,red,11004
1101104,Itapuã do Oeste,0,NO,RO,M,2020,10458,63761936000155,702842.93,Câmara de Vereadores de Itapuã do Oeste - RO,Itapuã do Oeste-RO,blue,11001
1101203,Ministro Andreazza,0,NO,RO,M,2020,9660,63762074000185,769116.94,Câmara de Vereadores de Ministro Andreazza - RO,Ministro Andreazza-RO,red,11006
1101302,Mirante da Serra,0,NO,RO,M,2020,10947,63787071000104,753775.96,Câmara de Vereadores de Mirante da Serra - RO,Mirante da Serra-RO,blue,11004
1101401,Monte Negro,0,NO,RO,M,2020,15852,63761985000198,NA,NA,Monte Negro-RO,blue,11003
1101435,Nova União,0,NO,RO,M,2020,6970,00699197000107,NA,NA,Nova União-RO,red,11004
1101450,Parecis,0,NO,RO,M,2020,6074,84745363000146,NA,NA,Parecis-RO,red,11007
1101468,Pimenteiras do Oeste,0,NO,RO,M,2020,2169,01592473000198,NA,NA,Pimenteiras do Oeste-RO,red,11008
1101476,Primavera de Rondônia,0,NO,RO,M,2020,2856,84723030000116,500312.58,Câmara de Vereadores de Primavera de Rondônia - RO,Primavera de Rondônia-RO,red,11007
1101484,São Felipe D'Oeste,0,NO,RO,M,2020,5172,84745389000194,557608.57,Câmara de Vereadores de São Felipe D'Oeste - RO,São Felipe D'Oeste-RO,red,11007
1101492,São Francisco do Guaporé,0,NO,RO,M,2020,20266,01254422000156,NA,NA,São Francisco do Guaporé-RO,blue,11002
1101500,Seringueiras,0,NO,RO,M,2020,11856,63761993000134,877962.49,Câmara de Vereadores de Seringueiras - RO,Seringueiras-RO,blue,11005
1101559,Teixeirópolis,0,NO,RO,M,2020,4308,84722933000182,591141.97,Câmara de Vereadores de Teixeirópolis - RO,Teixeirópolis-RO,red,11004
1101609,Theobroma,0,NO,RO,M,2020,10444,84727601000190,722216.63,Câmara de Vereadores de Theobroma - RO,Theobroma-RO,blue,11004
1101708,Urupá,0,NO,RO,M,2020,11467,63787097000144,807132.4,Câmara de Vereadores de Urupá - RO,Urupá-RO,blue,11004
1101757,Vale do Anari,0,NO,RO,M,2020,11204,84722917000190,642341.8,Câmara de Vereadores de Vale do Anari - RO,Vale do Anari-RO,blue,11003
1101807,Vale do Paraíso,0,NO,RO,M,2020,6825,63786990000155,561968.27,Câmara de Vereadores de Vale do Paraíso - RO,Vale do Paraíso-RO,red,11004
1200013,Acrelândia,0,NO,AC,M,2020,15256,84306737000127,681014.67,Câmara de Vereadores de Acrelândia - AC,Acrelândia-AC,blue,12004
1200054,Assis Brasil,0,NO,AC,M,2020,7417,04045993000179,626961.5,Câmara de Vereadores de Assis Brasil - AC,Assis Brasil-AC,red,12005
1200104,Brasiléia,0,NO,AC,M,2020,26278,04508933000145,1611287.29,Câmara de Vereadores de Brasiléia - AC,Brasiléia-AC,blue,12005
