instituicao,cod_ibge,uf,populacao,demais,adm,legis,total
Prefeitura Municipal de Abadia de Goiás - GO,5200050,GO,8583,33330988.87,6366273.13,1691700,41388962
Prefeitura Municipal de Abadia dos Dourados - MG,3100104,MG,6972,22059442.48,3959457.52,1250000,27268900
Prefeitura Municipal de Abadiânia - GO,5200100,GO,19614,42569104.55,6156799.89,2765720.25,51491624.69
Prefeitura Municipal de Abaeté - MG,3100203,MG,23223,40829620.56,6597753.14,1892626.3,49320000
Prefeitura Municipal de Abaetetuba - PA,1500107,PA,156292,287314322.06,21101936.21,6531000,314947258.27
Prefeitura Municipal de Abaiara - CE,2300101,CE,11663,27792409.41,3881890,1938615.59,33612915
Prefeitura Municipal de Abaíra - BA,2900108,BA,8767,18576000,3037000,1244120,22857120
Prefeitura Municipal de Abatiá - PR,4100103,PR,7507,23278673.89,1118830,0,24397503.89
Prefeitura Municipal de Abdon Batista - SC,4200051,SC,2577,20119386.560000002,2963707.22,912000,23995093.78
Prefeitura Municipal de Abel Figueiredo - PA,1500131,PA,7382,26356262.349999998,5165248.12,1109300,32630810.47
Prefeitura Municipal de Abelardo Luz - SC,4200101,SC,17847,62675050.29000001,6177277.5,2475494.5,71327822.29
Prefeitura Municipal de Abreu e Lima - PE,2600054,PE,99622,169110163.93,31689836.07,7700000,208500000
Prefeitura Municipal de Abreulândia - TO,1700251,TO,2564,12321167.43,3392950.57,600000,16314118
Prefeitura Municipal de Acaiaca - MG,3100401,MG,3994,16427795.229999999,1371692.67,1032847.23,18832335.13
Prefeitura Municipal de Açailândia - MA,2100055,MA,111757,324841590.04,77414132.18,9147701,411403423.22
Prefeitura Municipal de Acajutiba - BA,2900306,BA,15129,41288508.07,3398491.93,1659000,46346000
Prefeitura Municipal de Acará - PA,1500206,PA,55513,133029815.07000001,13612116.83,3045774.5,149687706.4
Prefeitura Municipal de Acarape - CE,2300150,CE,16639,39985855,6704950,2100000,48790805
Prefeitura Municipal de Acaraú - CE,2300200,CE,62557,126145020,10180700,4029280,140355000
Prefeitura Municipal de Acari - RN,2400109,RN,11152,28591329,4695000,1465000,34751329
Prefeitura Municipal de Acauã - PI,2200053,PI,7065,14399647.239999998,3006798.14,809637.32,18216082.7
Prefeitura Municipal de Aceguá - RS,4300034,RS,4858,23515432.2,5040128.37,1457737,30013297.57
Prefeitura Municipal de Acopiara - CE,2300309,CE,53931,106937327.33,9258407.32,3804265.35,120000000
Prefeitura Municipal de Acreúna - GO,5200134,GO,22182,73159071.98,4667864.53,2764368.66,80591305.17
Prefeitura Municipal de Açu - RN,2400208,RN,57644,90688546.92,16871785.42,4750000,112310332.34
Prefeitura Municipal de Açucena - MG,3100500,MG,9575,21455500,4357500,1050000,26863000
Prefeitura Municipal de Adamantina - SP,3500105,SP,35023,184906163.18,12060748.06,2118000,199084911.24
Prefeitura Municipal de Adelândia - GO,5200159,GO,2517,14361404.18,2796159.82,1042436,18200000
